epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4645,2.91579,4.3887,0.0042,0.18374,0.18431,0.07259,0.02501,2.78323,2.88768,0.00267,0.00036,0.00036,0.00036
2,17.9991,2.73359,2.51256,0.00323,0.5023,0.37647,0.3195,0.10389,2.88206,1.74903,0.00278,0.000732674,0.000732674,0.000732674
3,19.5195,2.82589,2.01565,0.00334,0.47317,0.35294,0.30699,0.09625,2.78014,1.99429,0.00279,0.00109782,0.00109782,0.00109782
4,21.0443,2.73618,1.80513,0.00321,0.39988,0.27843,0.25147,0.0668,2.89642,2.21779,0.003,0.00145545,0.00145545,0.00145545
5,22.4644,2.82424,1.65823,0.00328,0.38004,0.32214,0.24809,0.0816,2.91645,3.13411,0.00286,0.00180555,0.00180555,0.00180555
6,23.8751,2.78118,1.66982,0.00323,0.48694,0.43919,0.38816,0.12201,2.85932,2.83861,0.00277,0.001901,0.001901,0.001901
7,25.3341,2.78793,1.6491,0.00326,0.41605,0.37255,0.29218,0.074,3.1078,1.85168,0.00341,0.0018812,0.0018812,0.0018812
8,26.7443,2.87499,1.56457,0.00326,0.49516,0.40784,0.36922,0.11819,2.84192,2.03798,0.00277,0.0018614,0.0018614,0.0018614
9,28.1226,2.82928,1.64278,0.00334,0.44341,0.37489,0.35611,0.11683,2.87595,1.64725,0.00292,0.0018416,0.0018416,0.0018416
10,29.6092,2.84935,1.57273,0.00328,0.51195,0.40392,0.38719,0.11644,2.8773,1.58899,0.00292,0.0018218,0.0018218,0.0018218
11,31.0107,2.76267,1.45711,0.00316,0.41943,0.34902,0.30616,0.09245,3.06702,1.82289,0.00358,0.001802,0.001802,0.001802
12,32.4177,2.80009,1.50143,0.00313,0.51828,0.45882,0.41923,0.12484,2.84759,1.57772,0.00298,0.0017822,0.0017822,0.0017822
13,33.8589,2.70941,1.4105,0.00309,0.51494,0.41569,0.43705,0.13757,2.83915,1.4806,0.00275,0.0017624,0.0017624,0.0017624
14,35.5437,2.73805,1.40235,0.00306,0.55272,0.44314,0.4525,0.14921,2.68861,1.41331,0.00257,0.0017426,0.0017426,0.0017426
