epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1293,2.12603,14.7858,0.00216,0.63338,0.38617,0.46412,0.19954,2.12372,3.814,0.00196,0.0006621,0.0006621,0.0006621
2,30.5731,2.12321,3.51549,0.0022,0.82626,0.25098,0.37378,0.16198,2.29092,2.98924,0.00228,0.00131561,0.00131561,0.00131561
3,41.7204,2.30478,2.33095,0.00241,0.64751,0.43137,0.52928,0.20842,2.31329,1.96054,0.00217,0.00195592,0.00195592,0.00195592
4,52.8608,2.1844,2.18381,0.00228,0.59422,0.41176,0.47102,0.19851,2.3242,1.94064,0.00215,0.0019406,0.0019406,0.0019406
5,63.9937,2.19818,2.17017,0.00236,0.67166,0.68186,0.7067,0.26988,2.31779,1.33575,0.00223,0.0019208,0.0019208,0.0019208
