epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8417,3.1162,4.4404,0.00479,0.20203,0.22539,0.10088,0.02684,3.03422,2.8083,0.00325,0.00036,0.00036,0.00036
2,23.6549,2.8732,2.36323,0.00357,0.51585,0.28627,0.27873,0.07582,2.8866,2.37657,0.00291,0.000732674,0.000732674,0.000732674
3,25.4689,3.0021,1.94029,0.0038,0.4047,0.33592,0.27833,0.09078,2.7585,1.96815,0.00286,0.00109782,0.00109782,0.00109782
4,27.2323,3.06681,1.84721,0.00368,0.39053,0.21961,0.19443,0.04632,3.45447,1.88615,0.0039,0.00145545,0.00145545,0.00145545
5,28.9074,3.01104,1.82858,0.00374,0.34594,0.30196,0.24577,0.07262,3.20697,1.7385,0.00368,0.00180555,0.00180555,0.00180555
6,30.685,2.992,1.68423,0.00363,0.46399,0.2549,0.2568,0.07769,3.1698,1.67742,0.00396,0.001901,0.001901,0.001901
7,32.347,3.06931,1.69035,0.00372,0.31504,0.28235,0.20136,0.06235,3.13598,1.7735,0.00371,0.0018812,0.0018812,0.0018812
8,34.0084,2.92149,1.71824,0.0035,0.28933,0.30588,0.20493,0.06242,3.15486,1.76757,0.00343,0.0018614,0.0018614,0.0018614
9,35.6663,2.9706,1.68395,0.00352,0.49447,0.31373,0.31068,0.0969,3.10037,1.79448,0.00326,0.0018416,0.0018416,0.0018416
10,37.4017,2.97385,1.64979,0.00358,0.44513,0.31373,0.29511,0.09191,3.15989,1.79381,0.00372,0.0018218,0.0018218,0.0018218
11,39.1811,2.89663,1.68022,0.00349,0.38242,0.30196,0.2695,0.08143,3.07175,1.9351,0.00335,0.001802,0.001802,0.001802
12,40.8633,2.97785,1.67233,0.00351,0.49266,0.34655,0.32536,0.10514,2.96311,2.06077,0.00307,0.0017822,0.0017822,0.0017822
13,42.5812,2.86873,1.49665,0.00344,0.48073,0.28235,0.25404,0.077,3.10277,1.68975,0.00341,0.0017624,0.0017624,0.0017624
14,44.1056,2.85617,1.55315,0.00335,0.42078,0.29804,0.30773,0.10795,2.965,1.59095,0.00318,0.0017426,0.0017426,0.0017426
15,45.6865,2.77691,1.51727,0.00324,0.55955,0.40852,0.414,0.12952,2.89505,1.49016,0.0031,0.0017228,0.0017228,0.0017228
16,47.1948,2.72242,1.53132,0.00312,0.5358,0.29412,0.32872,0.09894,3.13719,1.64011,0.00339,0.001703,0.001703,0.001703
17,48.5263,2.85048,1.54734,0.00319,0.51351,0.43137,0.3994,0.11899,2.85588,1.54226,0.00284,0.0016832,0.0016832,0.0016832
18,49.8787,2.77167,1.518,0.00318,0.5158,0.36863,0.36697,0.10774,3.00579,1.61029,0.00335,0.0016634,0.0016634,0.0016634
19,51.252,2.72296,1.56922,0.00314,0.53323,0.38039,0.37311,0.10791,3.03936,1.66288,0.00308,0.0016436,0.0016436,0.0016436
20,52.644,2.7944,1.48579,0.00319,0.5315,0.32549,0.34228,0.11637,2.89143,1.48559,0.00311,0.0016238,0.0016238,0.0016238
21,54.0662,2.7044,1.41903,0.00312,0.61947,0.40392,0.44997,0.1458,2.81464,1.48044,0.00278,0.001604,0.001604,0.001604
22,55.4742,2.78595,1.41212,0.00317,0.52146,0.40169,0.40186,0.1263,2.98564,1.45489,0.00312,0.0015842,0.0015842,0.0015842
23,56.8543,2.64392,1.42604,0.00305,0.64601,0.38039,0.44492,0.14901,2.93054,1.40952,0.00312,0.0015644,0.0015644,0.0015644
24,58.254,2.68201,1.35873,0.00314,0.5521,0.34902,0.3932,0.13198,2.99084,1.40844,0.00316,0.0015446,0.0015446,0.0015446
25,59.5853,2.74093,1.31916,0.00309,0.50406,0.42647,0.42133,0.13935,2.92892,1.34804,0.00297,0.0015248,0.0015248,0.0015248
26,61.0472,2.73341,1.32659,0.00307,0.68152,0.36078,0.43991,0.13221,2.81874,1.47679,0.00281,0.001505,0.001505,0.001505
27,62.4028,2.63302,1.37382,0.00296,0.53346,0.39216,0.39218,0.12887,2.82816,1.60919,0.00297,0.0014852,0.0014852,0.0014852
28,63.7685,2.65723,1.31433,0.00298,0.61152,0.36471,0.39969,0.12892,2.92363,1.6563,0.00292,0.0014654,0.0014654,0.0014654
29,65.1043,2.74404,1.37961,0.00307,0.51033,0.38824,0.38785,0.13481,2.85827,1.4723,0.00289,0.0014456,0.0014456,0.0014456
30,66.4652,2.63097,1.31832,0.00292,0.56769,0.38824,0.383,0.12457,2.95551,1.5313,0.00293,0.0014258,0.0014258,0.0014258
31,68.117,2.68336,1.36539,0.00301,0.66209,0.38431,0.42974,0.13314,2.74141,1.51944,0.0028,0.001406,0.001406,0.001406
32,69.4885,2.5813,1.2907,0.00286,0.55018,0.43137,0.43222,0.13515,2.7698,1.50942,0.00272,0.0013862,0.0013862,0.0013862
33,70.8227,2.60355,1.2903,0.00286,0.62076,0.4,0.43446,0.15072,2.70106,1.49543,0.00275,0.0013664,0.0013664,0.0013664
34,72.2179,2.5487,1.2727,0.00277,0.60802,0.4549,0.47074,0.16446,2.68732,1.32344,0.0027,0.0013466,0.0013466,0.0013466
35,73.6166,2.54779,1.17149,0.00278,0.57216,0.39334,0.42119,0.14583,2.81578,1.50378,0.00285,0.0013268,0.0013268,0.0013268
36,75.0752,2.58276,1.28831,0.0028,0.56366,0.45098,0.4624,0.16028,2.72207,1.43336,0.00278,0.001307,0.001307,0.001307
37,76.3984,2.51888,1.27842,0.00274,0.57181,0.43922,0.42933,0.13076,2.88395,1.46571,0.00283,0.0012872,0.0012872,0.0012872
38,77.7661,2.58837,1.2888,0.00285,0.56837,0.45959,0.4318,0.12282,2.91448,1.45881,0.00307,0.0012674,0.0012674,0.0012674
39,79.1467,2.56054,1.29393,0.00289,0.54148,0.47237,0.44641,0.15949,2.77043,1.38477,0.0028,0.0012476,0.0012476,0.0012476
40,80.5405,2.45307,1.27026,0.00266,0.55615,0.43922,0.45218,0.16248,2.77831,1.42216,0.00279,0.0012278,0.0012278,0.0012278
41,81.962,2.44525,1.17483,0.0027,0.54741,0.45535,0.45937,0.16069,2.77419,1.3718,0.0029,0.001208,0.001208,0.001208
42,83.3044,2.41637,1.16237,0.00261,0.52761,0.47059,0.44453,0.1674,2.71448,1.41655,0.00287,0.0011882,0.0011882,0.0011882
43,84.7076,2.43355,1.3024,0.00272,0.632,0.43137,0.46593,0.17542,2.75389,1.40661,0.00274,0.0011684,0.0011684,0.0011684
44,86.1424,2.48511,1.28982,0.00269,0.64964,0.40392,0.45892,0.16167,2.73265,1.34661,0.00276,0.0011486,0.0011486,0.0011486
45,87.4911,2.40713,1.22502,0.00262,0.59145,0.46275,0.46636,0.15534,2.73743,1.33639,0.00268,0.0011288,0.0011288,0.0011288
46,88.9487,2.3536,1.19343,0.00257,0.65373,0.42745,0.46977,0.17451,2.69873,1.40937,0.00262,0.001109,0.001109,0.001109
47,90.5619,2.31814,1.19362,0.00252,0.56619,0.46275,0.47911,0.17601,2.67143,1.38835,0.00257,0.0010892,0.0010892,0.0010892
48,92.2736,2.46248,1.19573,0.00268,0.60049,0.44706,0.46615,0.17191,2.65496,1.42043,0.00267,0.0010694,0.0010694,0.0010694
49,93.8613,2.39589,1.12982,0.00265,0.62263,0.44646,0.45955,0.16605,2.65212,1.46807,0.00258,0.0010496,0.0010496,0.0010496
50,95.4406,2.3626,1.15639,0.00254,0.5713,0.48235,0.47819,0.18963,2.66095,1.30572,0.00261,0.0010298,0.0010298,0.0010298
51,97.0676,2.41651,1.16966,0.00269,0.6042,0.43103,0.47637,0.16651,2.72291,1.45005,0.00272,0.00101,0.00101,0.00101
52,98.7699,2.28413,1.08925,0.00237,0.62204,0.44706,0.48963,0.18547,2.61036,1.46074,0.00248,0.0009902,0.0009902,0.0009902
53,100.345,2.35349,1.12182,0.00254,0.57094,0.4,0.45642,0.17202,2.50069,1.53697,0.00243,0.0009704,0.0009704,0.0009704
54,101.936,2.3755,1.11258,0.00256,0.61759,0.46667,0.50019,0.18254,2.61444,1.31226,0.00257,0.0009506,0.0009506,0.0009506
55,103.532,2.30158,1.07393,0.00239,0.6278,0.46275,0.51438,0.19576,2.57005,1.24509,0.00248,0.0009308,0.0009308,0.0009308
56,105.17,2.31701,1.06145,0.00243,0.64481,0.47451,0.52929,0.1973,2.59703,1.24386,0.00254,0.000911,0.000911,0.000911
57,106.905,2.35191,1.1262,0.00247,0.67387,0.44568,0.50751,0.18415,2.64305,1.30532,0.0026,0.0008912,0.0008912,0.0008912
58,108.482,2.36402,1.02726,0.00253,0.56571,0.47059,0.4884,0.18511,2.63695,1.37513,0.00266,0.0008714,0.0008714,0.0008714
59,110.084,2.29726,1.04926,0.00245,0.56236,0.5098,0.50587,0.17199,2.72385,1.35963,0.00253,0.0008516,0.0008516,0.0008516
