epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.647,2.58395,5.17649,0.00276,0.53264,0.40672,0.39943,0.17321,2.35139,2.08502,0.00209,0.000648649,0.000648649,0.000648649
2,24.1704,2.43243,2.2057,0.00254,0.56344,0.46564,0.45767,0.18478,2.35477,1.80831,0.00218,0.00130229,0.00130229,0.00130229
3,26.9152,2.58846,1.78674,0.00273,0.54801,0.55294,0.51495,0.15303,2.70094,1.55325,0.00252,0.00194274,0.00194274,0.00194274
4,29.7512,2.58974,1.55629,0.00261,0.61496,0.51765,0.56179,0.19319,2.54202,1.46726,0.00237,0.0019406,0.0019406,0.0019406
5,32.6671,2.468,1.48854,0.00241,0.56626,0.58824,0.56843,0.21859,2.38739,1.56273,0.00222,0.0019208,0.0019208,0.0019208
6,35.6718,2.62814,1.54187,0.00267,0.61171,0.51765,0.52715,0.19137,2.50692,1.44245,0.00254,0.001901,0.001901,0.001901
7,38.4453,2.50637,1.36529,0.00256,0.68171,0.48235,0.53419,0.21081,2.54688,1.45899,0.00252,0.0018812,0.0018812,0.0018812
8,41.2863,2.55731,1.44031,0.00256,0.65826,0.54902,0.59278,0.22439,2.43434,1.40919,0.00217,0.0018614,0.0018614,0.0018614
9,44.1455,2.49395,1.37859,0.0025,0.67993,0.52941,0.59155,0.23811,2.38491,1.3371,0.00227,0.0018416,0.0018416,0.0018416
10,47.0361,2.39562,1.33732,0.00241,0.60118,0.54902,0.57185,0.2417,2.43103,1.355,0.00227,0.0018218,0.0018218,0.0018218
11,50.0124,2.40338,1.27322,0.00237,0.68867,0.58824,0.65488,0.25847,2.40089,1.31882,0.00218,0.001802,0.001802,0.001802
12,52.8955,2.3957,1.25841,0.00238,0.59791,0.56863,0.59091,0.22531,2.47198,1.28737,0.00234,0.0017822,0.0017822,0.0017822
13,55.7425,2.39989,1.13622,0.0024,0.70565,0.4549,0.5664,0.23419,2.43294,1.34128,0.00236,0.0017624,0.0017624,0.0017624
14,58.5917,2.39075,1.21452,0.00238,0.70366,0.63321,0.68795,0.28746,2.3144,1.21469,0.00219,0.0017426,0.0017426,0.0017426
15,61.4376,2.32684,1.21151,0.00228,0.7185,0.62058,0.69047,0.27325,2.35471,1.20109,0.0021,0.0017228,0.0017228,0.0017228
16,64.3853,2.33349,1.21835,0.00232,0.6999,0.6,0.67292,0.28692,2.26161,1.25366,0.00207,0.001703,0.001703,0.001703
17,67.1827,2.28349,1.14248,0.00218,0.75146,0.61176,0.71126,0.28525,2.29258,1.16288,0.00211,0.0016832,0.0016832,0.0016832
18,70.0028,2.28075,1.12871,0.00221,0.78306,0.59454,0.71227,0.29211,2.34056,1.15861,0.00216,0.0016634,0.0016634,0.0016634
19,72.8664,2.33867,1.06369,0.00222,0.72017,0.5652,0.65434,0.27675,2.32156,1.17721,0.00217,0.0016436,0.0016436,0.0016436
20,75.6656,2.31509,1.13564,0.00231,0.66136,0.58973,0.61032,0.2412,2.48175,1.21181,0.00236,0.0016238,0.0016238,0.0016238
21,78.5855,2.37223,1.1135,0.00223,0.72423,0.58824,0.65609,0.25935,2.3583,1.13403,0.00212,0.001604,0.001604,0.001604
22,81.3986,2.22636,1.0755,0.00218,0.71682,0.61569,0.68441,0.28616,2.27077,1.24254,0.00202,0.0015842,0.0015842,0.0015842
23,84.197,2.22621,1.03267,0.00208,0.73585,0.64314,0.65629,0.27115,2.27027,1.19627,0.00202,0.0015644,0.0015644,0.0015644
24,87.059,2.33661,1.04824,0.00231,0.6731,0.65882,0.67304,0.27595,2.26938,1.16263,0.00215,0.0015446,0.0015446,0.0015446
25,89.8405,2.26038,1.07454,0.00215,0.75244,0.64364,0.72126,0.29501,2.26049,1.07778,0.00204,0.0015248,0.0015248,0.0015248
26,92.7977,2.11305,1.00488,0.00204,0.75023,0.58824,0.68664,0.28555,2.24377,1.29168,0.00197,0.001505,0.001505,0.001505
27,95.6188,2.18739,1.01347,0.00205,0.78417,0.6554,0.72665,0.28589,2.318,1.13733,0.00222,0.0014852,0.0014852,0.0014852
28,98.4299,2.20053,0.96717,0.00222,0.7408,0.64706,0.71374,0.30196,2.30453,1.07332,0.00208,0.0014654,0.0014654,0.0014654
29,101.299,2.22678,0.93561,0.00219,0.74174,0.68235,0.72099,0.30302,2.25679,1.16723,0.00199,0.0014456,0.0014456,0.0014456
30,104.194,2.21951,0.9611,0.00214,0.83306,0.61569,0.71681,0.30571,2.22875,1.17563,0.00199,0.0014258,0.0014258,0.0014258
31,107.169,2.21124,1.0037,0.00207,0.67315,0.67842,0.69241,0.29029,2.31808,1.12467,0.00218,0.001406,0.001406,0.001406
32,109.992,2.19758,0.98331,0.0022,0.74342,0.64706,0.73407,0.32481,2.24004,1.17547,0.00196,0.0013862,0.0013862,0.0013862
33,112.828,2.16482,0.98908,0.00205,0.77926,0.63529,0.72238,0.31858,2.20725,1.08313,0.00188,0.0013664,0.0013664,0.0013664
34,115.663,2.10442,0.92638,0.00202,0.79431,0.60575,0.72815,0.30893,2.25884,1.07128,0.00202,0.0013466,0.0013466,0.0013466
35,118.508,2.12964,0.95042,0.00201,0.75828,0.66667,0.74204,0.3228,2.17411,1.02094,0.00194,0.0013268,0.0013268,0.0013268
